_id,name,country,region,population,language,currency,timezone,area,_idRoute,departureCityId,destination,distance,duration,price
653fbc1e2160d5fe64e44e1a,New York City,us,Northeastern United States,8336817,English,USD,EST,468.9,653fbc1e2160d5fe64e44e1a,653fba282160d5fe64e44e12,Los Angeles,4501,5,265.71
653fbde02160d5fe64e44e28,New York City,us,Northeastern United States,8336817,English,USD,EST,468.9,653fbde02160d5fe64e44e28,653fba282160d5fe64e44e12,Chicago,1280,2,88.57
653fbdfc2160d5fe64e44e29,New York City,us,Northeastern United States,8336817,English,USD,EST,468.9,653fbdfc2160d5fe64e44e29,653fba282160d5fe64e44e12,Miami,1280,2,132.86
653fbf292160d5fe64e44e2e,London,gb,England,8982000,English,GBP,GMT,1572,653fbf292160d5fe64e44e2e,653fbf0d2160d5fe64e44e2c,Manchester,336,2,111.43
653fbf3c2160d5fe64e44e2f,London,gb,England,8982000,English,GBP,GMT,1572,653fbf3c2160d5fe64e44e2f,653fbf0d2160d5fe64e44e2c,Paris,344,2,114.29
653fbf592160d5fe64e44e30,London,gb,England,8982000,English,GBP,GMT,1572,653fbf592160d5fe64e44e30,653fbf0d2160d5fe64e44e2c,Amsterdam,357,3,91.43
653fbfd82160d5fe64e44e34,Tokyo,jp,Kanto Region,13515271,Japanese,JPY,JST,2194,653fbfd82160d5fe64e44e34,653fbf962160d5fe64e44e32,Osaka,507,3,80
653fc0052160d5fe64e44e35,Tokyo,jp,Kanto Region,13515271,Japanese,JPY,JST,2194,653fc0052160d5fe64e44e35,653fbf962160d5fe64e44e32,Kyoto,455,2.5,68.57
653fc0462160d5fe64e44e36,Tokyo,jp,Kanto Region,13515271,Japanese,JPY,JST,2194,653fc0462160d5fe64e44e36,653fbf962160d5fe64e44e32,Sapporo,1116,1.5,114.29
653fc12e2160d5fe64e44e3a,Paris,fr,Ile-de-France,2140526,French,EUR,CET,105.4,653fc12e2160d5fe64e44e3a,653fc1082160d5fe64e44e38,Lyon,465,2,91.43
653fc1422160d5fe64e44e3b,Paris,fr,Ile-de-France,2140526,French,EUR,CET,105.4,653fc1422160d5fe64e44e3b,653fc1082160d5fe64e44e38,Marseille,775,3,114.29
653fc17b2160d5fe64e44e3c,Paris,fr,Ile-de-France,2140526,French,EUR,CET,105.4,653fc17b2160d5fe64e44e3c,653fc1082160d5fe64e44e38,Brussels,315,1.5,57.14
653fc1e22160d5fe64e44e40,Sydney,au,New South Wales,5367206,English,AUD,AEST,12368,653fc1e22160d5fe64e44e40,653fc1bf2160d5fe64e44e3e,Melbourne,878,1.5,114.29
